"METRIC","NAME","MODEL","ID","PEAK80","T_CROSS","CENSORED","QUANT25","QUANT75","IQR","OUTLIER","METHOD"
"LAC","LAC
(mmol/L)","EMv2_3_WBA","A-EMv2.0-WBA 11",2.52,12.8516129032258,"NO",2.55328798185941,11.112,8.55871201814059,"NO","CROSS"
"LAC","LAC
(mmol/L)","EMv2_3_WBA","A-EMv2.0-WBA 12",1.22,10.896,"NO",2.55328798185941,11.112,8.55871201814059,"NO","CROSS"
"LAC","LAC
(mmol/L)","EMv2_3_WBA","A-EMv2.0-WBA 13",1.68,4.275,"NO",2.55328798185941,11.112,8.55871201814059,"NO","CROSS"
"LAC","LAC
(mmol/L)","EMv2_3_WBA","A-EMv2.0-WBA 16",1.86,2.56734693877551,"NO",2.55328798185941,11.112,8.55871201814059,"NO","CROSS"
"LAC","LAC
(mmol/L)","EMv2_3_WBA","A-EMv2.0-WBA 19",2.14,2.78064516129032,"NO",2.55328798185941,11.112,8.55871201814059,"NO","CROSS"
"LAC","LAC
(mmol/L)","EMv2_3_WBA","A-EMv2.0-WBA 20",1.86,11.76,"NO",2.55328798185941,11.112,8.55871201814059,"NO","CROSS"
"LAC","LAC
(mmol/L)","EMv2_3_WBA","A-EMv3.0-WBA 01",1.48,2.51111111111111,"NO",2.55328798185941,11.112,8.55871201814059,"NO","CROSS"
"LAC","LAC
(mmol/L)","EMv2_3_WBA","A-EMv3.0-WBA 02",1.2,2.36842105263158,"NO",2.55328798185941,11.112,8.55871201814059,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 13",2.34,1.61935483870968,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 14",2.22,2.04,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 16",2.28,1.15172413793103,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 17",1.56,2.22352941176471,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 19",1.64,1.85882352941176,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 22",1.38,2.85263157894737,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 23",2.52,1.78490566037736,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 25",2.5,3,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 26",1.3,2.23809523809524,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 27",1.24,1.27368421052632,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 29",4.08,1.77090909090909,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 31",4.78,2.69615384615385,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 32",2.26,2.37142857142857,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 34",2.42,1.92941176470588,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 35",1.92,2.54074074074074,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 37",1.88,2.85641025641026,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","FWB","A-FB 38",2.16,1.776,"NO",1.776,2.54074074074074,0.764740740740741,"NO","CROSS"
"LAC","LAC
(mmol/L)","LR","A-LR 16",3.4,19.2857142857143,"NO",5.51428571428571,24,18.4857142857143,"NO","CROSS"
"LAC","LAC
(mmol/L)","LR","A-LR 18",2.02,24,"YES",5.51428571428571,24,18.4857142857143,"NO","CROSS"
"LAC","LAC
(mmol/L)","LR","A-LR 19",3.38,2.66086956521739,"NO",5.51428571428571,24,18.4857142857143,"NO","CROSS"
"LAC","LAC
(mmol/L)","LR","A-LR 21",1.8,5.4,"NO",5.51428571428571,24,18.4857142857143,"NO","CROSS"
"LAC","LAC
(mmol/L)","LR","A-LR 23",1.58,5.3625,"NO",5.51428571428571,24,18.4857142857143,"NO","CROSS"
"LAC","LAC
(mmol/L)","LR","A-LR 24",2.96,5.62857142857143,"NO",5.51428571428571,24,18.4857142857143,"NO","CROSS"
"LAC","LAC
(mmol/L)","LR","A-LR 25",1.1,24,"YES",5.51428571428571,24,18.4857142857143,"NO","CROSS"
"LAC","LAC
(mmol/L)","LR","A-LR 29",1.82,23.856,"NO",5.51428571428571,24,18.4857142857143,"NO","CROSS"
"LAC","LAC
(mmol/L)","LR","A-LR 30",0.94,24,"YES",5.51428571428571,24,18.4857142857143,"NO","CROSS"
"LAC","LAC
(mmol/L)","LR","A-LR 32",1.7,24,"YES",5.51428571428571,24,18.4857142857143,"NO","CROSS"
"LAC","LAC
(mmol/L)","LR","A-LR 33",1.3,24,"YES",5.51428571428571,24,18.4857142857143,"NO","CROSS"
"LAC","LAC
(mmol/L)","LR","A-LR 35",2.34,19.136170212766,"NO",5.51428571428571,24,18.4857142857143,"NO","CROSS"
"LAC","LAC
(mmol/L)","LR","A-LR 37",0.86,6.79999999999999,"NO",5.51428571428571,24,18.4857142857143,"NO","CROSS"
"LAC","LAC
(mmol/L)","LR","A-LR 40",2.32,5.4,"NO",5.51428571428571,24,18.4857142857143,"NO","CROSS"
"LAC","LAC
(mmol/L)","LR","A-LR 41",1.64,13.3384615384615,"NO",5.51428571428571,24,18.4857142857143,"NO","CROSS"
"LAC","LAC
(mmol/L)","SWB","A-SB 01",3.52,1.83,"NO",2.08235294117647,3.72857142857143,1.64621848739496,"NO","CROSS"
"LAC","LAC
(mmol/L)","SWB","A-SB 02",3.84,2.80689655172414,"NO",2.08235294117647,3.72857142857143,1.64621848739496,"NO","CROSS"
"LAC","LAC
(mmol/L)","SWB","A-SB 04",1.88,2.08235294117647,"NO",2.08235294117647,3.72857142857143,1.64621848739496,"NO","CROSS"
"LAC","LAC
(mmol/L)","SWB","A-SB 06",2.38,1.69268292682927,"NO",2.08235294117647,3.72857142857143,1.64621848739496,"NO","CROSS"
"LAC","LAC
(mmol/L)","SWB","A-SB 07",2.12,1.56,"NO",2.08235294117647,3.72857142857143,1.64621848739496,"NO","CROSS"
"LAC","LAC
(mmol/L)","SWB","A-SB 09",3.22,2.25161290322581,"NO",2.08235294117647,3.72857142857143,1.64621848739496,"NO","CROSS"
"LAC","LAC
(mmol/L)","SWB","A-SB 16",3.8,4.30909090909091,"NO",2.08235294117647,3.72857142857143,1.64621848739496,"NO","CROSS"
"LAC","LAC
(mmol/L)","SWB","A-SB 18",1.88,15.9,"NO",2.08235294117647,3.72857142857143,1.64621848739496,"YES","CROSS"
"LAC","LAC
(mmol/L)","SWB","A-SB 26",1.18,5.24444444444444,"NO",2.08235294117647,3.72857142857143,1.64621848739496,"NO","CROSS"
"LAC","LAC
(mmol/L)","SWB","A-SB 27",3.42,3.6,"NO",2.08235294117647,3.72857142857143,1.64621848739496,"NO","CROSS"
"LAC","LAC
(mmol/L)","SWB","A-SB 29",2.26,3.72857142857143,"NO",2.08235294117647,3.72857142857143,1.64621848739496,"NO","CROSS"
"LAC","LAC
(mmol/L)","SWB","A-SB 30",2.8,2.59375,"NO",2.08235294117647,3.72857142857143,1.64621848739496,"NO","CROSS"
"LAC","LAC
(mmol/L)","SWB","A-SB 31",1.62,2.11428571428571,"NO",2.08235294117647,3.72857142857143,1.64621848739496,"NO","CROSS"
"LAC","LAC
(mmol/L)","pHb_SAC","A-pHb-SAC 01",3.58,2.69375,"NO",2.8,24,21.2,"NO","CROSS"
"LAC","LAC
(mmol/L)","pHb_SAC","A-pHb-SAC 03",2.14,2.8,"NO",2.8,24,21.2,"NO","CROSS"
"LAC","LAC
(mmol/L)","pHb_SAC","A-pHb-SAC 04",3.24,2.86122448979592,"NO",2.8,24,21.2,"NO","CROSS"
"LAC","LAC
(mmol/L)","pHb_SAC","A-pHb-SAC 05",2.48,4.2375,"NO",2.8,24,21.2,"NO","CROSS"
"LAC","LAC
(mmol/L)","pHb_SAC","A-pHb-SAC 08",3.3,21.5049504950495,"NO",2.8,24,21.2,"NO","CROSS"
"LAC","LAC
(mmol/L)","pHb_SAC","A-pHb-SAC 09",3.72,2.63760683760684,"NO",2.8,24,21.2,"NO","CROSS"
"LAC","LAC
(mmol/L)","pHb_SAC","A-pHb-SAC 10",1.76,24,"YES",2.8,24,21.2,"NO","CROSS"
"LAC","LAC
(mmol/L)","pHb_SAC","A-pHb-SAC 11",2.22,24,"YES",2.8,24,21.2,"NO","CROSS"
"LAC","LAC
(mmol/L)","pHb_SAC","A-pHb-SAC 13",1.92,24,"YES",2.8,24,21.2,"NO","CROSS"
"MAP","MAP
(mmHg)","EMv2_3_WBA","A-EMv2.0-WBA 11",-9.2,0.68,"NO",-0.081496,0.68,0.761496,"NO","CROSS"
