"","METRIC","ES","VJUST","MEASURE","CATEGORY"
"1","LAC",-1.38464754400762,1.5,"TPP","TPP"
"2","MAP",-0.376576099818277,1.5,"TPP","TPP"
"3","LAC",-0.969253280805334,1.5,"30% margin","TPP"
"4","MAP",-0.263603269872794,1.5,"30% margin","TPP"
"5","LAC",-1.1077180352061,1.5,"20% margin","TPP"
"6","MAP",-0.301260879854622,1.5,"20% margin","TPP"
"7","LAC",-1.24618278960686,1.5,"10% margin","TPP"
"8","MAP",-0.338918489836449,1.5,"10% margin","TPP"
"9","LAC",-0.99834461340968,1.5,"WBA-EM","WBA-EM"
"10","MAP",-1.15980360870593,1.5,"WBA-EM","WBA-EM"
"11","LAC",-0.187349103262004,1.5,"SAC-EMv415","SAC-EMv415"
"12","MAP",-1.1798747867184,1.5,"SAC-EMv415","SAC-EMv415"
"13","LAC",-1.23862127695012,1.5,"SAC-EM6.0.3","SAC-EM6.0.3"
"14","MAP",-1.17644429897125,1.5,"SAC-EM6.0.3","SAC-EM6.0.3"
