"","METRIC","TIMERANGE","ES","VJUST","MEASURE"
"1","LAC","AUC EOS
to 1 hr",-1.76663717059743,1.5,"TPP"
"2","LAC","AUC EOS
to 24 hr",-1.10584588618438,1.5,"TPP"
"3","LAC","AUC EOS
to 3 hr",-1.54110719276058,1.5,"TPP"
"4","LAC","AUC EOS
to 6 hr",-1.47184449604537,1.5,"TPP"
"5","LAC","AUC EOS
to EOR",-1.204033439757,1.5,"TPP"
"6","MAP","AUC EOS
to 1 hr",0.731222049750512,-0.3,"TPP"
"7","MAP","AUC EOS
to 24 hr",0.612544466849697,-0.3,"TPP"
"8","MAP","AUC EOS
to 3 hr",0.908453861868017,-0.3,"TPP"
"9","MAP","AUC EOS
to 6 hr",0.730626137885581,-0.3,"TPP"
"10","MAP","AUC EOS
to EOR",0.37129188529791,-0.3,"TPP"
"11","LAC","AUC EOS
to 1 hr",-1.2366460194182,1.5,"30% Margin"
"12","LAC","AUC EOS
to 24 hr",-0.774092120329069,1.5,"30% Margin"
"13","LAC","AUC EOS
to 3 hr",-1.07877503493241,1.5,"30% Margin"
"14","LAC","AUC EOS
to 6 hr",-1.03029114723176,1.5,"30% Margin"
"15","LAC","AUC EOS
to EOR",-0.842823407829899,1.5,"30% Margin"
"16","MAP","AUC EOS
to 1 hr",0.511855434825358,-0.3,"30% Margin"
"17","MAP","AUC EOS
to 24 hr",0.428781126794788,-0.3,"30% Margin"
"18","MAP","AUC EOS
to 3 hr",0.635917703307612,-0.3,"30% Margin"
"19","MAP","AUC EOS
to 6 hr",0.511438296519907,-0.3,"30% Margin"
"20","MAP","AUC EOS
to EOR",0.259904319708537,-0.3,"30% Margin"
"21","LAC","AUC EOS
to 1 hr",-1.24322970777526,1.5,"WBA-EM"
"22","LAC","AUC EOS
to 24 hr",-0.745768811140256,1.5,"WBA-EM"
"23","LAC","AUC EOS
to 3 hr",-1.13935286274534,1.5,"WBA-EM"
"24","LAC","AUC EOS
to 6 hr",-1.01797803683327,1.5,"WBA-EM"
"25","LAC","AUC EOS
to EOR",-1.34981158262791,1.5,"WBA-EM"
"26","MAP","AUC EOS
to 1 hr",0.860113922327079,-0.3,"WBA-EM"
"27","MAP","AUC EOS
to 24 hr",-0.150931839241534,1.5,"WBA-EM"
"28","MAP","AUC EOS
to 3 hr",0.764240442026207,-0.3,"WBA-EM"
"29","MAP","AUC EOS
to 6 hr",0.476866838595208,-0.3,"WBA-EM"
"30","MAP","AUC EOS
to EOR",0.687357452113302,-0.3,"WBA-EM"
"31","LAC","AUC EOS
to 1 hr",-2.73997489329564,1.5,"SAC-EMv415"
"32","LAC","AUC EOS
to 24 hr",-0.516404545081847,1.5,"SAC-EMv415"
"33","LAC","AUC EOS
to 3 hr",-1.50980961761798,1.5,"SAC-EMv415"
"34","LAC","AUC EOS
to 6 hr",-0.913469796360612,1.5,"SAC-EMv415"
"35","LAC","AUC EOS
to EOR",-2.55327624345258,1.5,"SAC-EMv415"
"36","MAP","AUC EOS
to 1 hr",1.85477991925383,-0.3,"SAC-EMv415"
"37","MAP","AUC EOS
to 24 hr",1.77971281084072,-0.3,"SAC-EMv415"
"38","MAP","AUC EOS
to 3 hr",1.88373300639794,-0.3,"SAC-EMv415"
"39","MAP","AUC EOS
to 6 hr",1.8638927551832,-0.3,"SAC-EMv415"
"40","MAP","AUC EOS
to EOR",1.97115381772664,-0.3,"SAC-EMv415"
"41","LAC","AUC EOS
to 1 hr",-2.12513379392239,1.5,"SAC-EM6.0.3"
"42","LAC","AUC EOS
to 24 hr",-0.896439864967872,1.5,"SAC-EM6.0.3"
"43","LAC","AUC EOS
to 3 hr",-1.50831198802996,1.5,"SAC-EM6.0.3"
"44","LAC","AUC EOS
to 6 hr",-1.30493594486032,1.5,"SAC-EM6.0.3"
"45","LAC","AUC EOS
to EOR",-2.0610643992799,1.5,"SAC-EM6.0.3"
"46","MAP","AUC EOS
to 1 hr",1.64795347548239,-0.3,"SAC-EM6.0.3"
"47","MAP","AUC EOS
to 24 hr",1.36138660866504,-0.3,"SAC-EM6.0.3"
"48","MAP","AUC EOS
to 3 hr",1.59946798073348,-0.3,"SAC-EM6.0.3"
"49","MAP","AUC EOS
to 6 hr",1.45354602809266,-0.3,"SAC-EM6.0.3"
"50","MAP","AUC EOS
to EOR",1.63318791408548,-0.3,"SAC-EM6.0.3"
