"GROUP","METRIC","NAME","MODEL","Timepoint","N","MIN","MED","MAX","MEAN","SD"
"ABG","LAC","LAC
(mmol/L)","EMv2_3_WBA","EOR",10,6.4,10.15,18,10.8,3.27753294754183
"ABG","LAC","LAC
(mmol/L)","EMv2_3_WBA","EOS",10,6.9,10.9,20,11,3.78300292242963
"ABG","LAC","LAC
(mmol/L)","FWB","EOR",17,6.6,11.1,25,11.8941176470588,4.48894065847323
"ABG","LAC","LAC
(mmol/L)","FWB","EOS",17,7.6,12.2,25,12.5882352941176,4.55163189869045
"ABG","LAC","LAC
(mmol/L)","LR","EOR",20,6.1,12.95,25,13.91,5.63885953381579
"ABG","LAC","LAC
(mmol/L)","LR","EOS",20,5.8,10.6,23,12.32,5.42524314274436
"ABG","LAC","LAC
(mmol/L)","SWB","EOR",11,8,12.5,21,13.4,4.19809480598045
"ABG","LAC","LAC
(mmol/L)","SWB","EOS",13,6.9,13.1,24,14.6923076923077,5.1401137371433
"ABG","LAC","LAC
(mmol/L)","WBA-pHb","EOR",11,10.6,15,24,15.8090909090909,3.5308510434326
"ABG","LAC","LAC
(mmol/L)","WBA-pHb","EOS",11,9.9,17,24,16.1,3.98045223561344
"MAP","MAP","MAP
(mmHg)","EMv2_3_WBA","EOR",10,64,77,102,77.9,11.0699794238492
"MAP","MAP","MAP
(mmHg)","EMv2_3_WBA","EOS",10,27,54,84,53.4,18.295111672551
"MAP","MAP","MAP
(mmHg)","FWB","EOR",17,50,73,91,72.7058823529412,9.95467670169625
"MAP","MAP","MAP
(mmHg)","FWB","EOS",17,34,46,83,50.3529411764706,12.544626222364
"MAP","MAP","MAP
(mmHg)","LR","EOR",20,25,57,77,53.95,13.01203895993
"MAP","MAP","MAP
(mmHg)","LR","EOS",20,30,42,72,43.85,11.4812203642571
"MAP","MAP","MAP
(mmHg)","SWB","EOR",13,39,65,90,63.1538461538462,14.4789856564963
"MAP","MAP","MAP
(mmHg)","SWB","EOS",13,28,45,68,45.1538461538462,12.5886599356071
"MAP","MAP","MAP
(mmHg)","WBA-pHb","EOR",11,81,89,100,90,5.91607978309962
"MAP","MAP","MAP
(mmHg)","WBA-pHb","EOS",11,33,59,73,54.1818181818182,14.2395096953384
