"","Source_File","Subject_ID","Group","Variable","Timepoint","Value","Parser_Confidence"
"1","B_Blood.xlsx","B_B11","MAP","MAP","BL",62,15
"2","B_Blood.xlsx","B_B11","MAP","MAP","EOS",29,15
"3","B_Blood.xlsx","B_B11","MAP","MAP","EOR",55,15
"4","B_Blood.xlsx","B_B11","MAP","MAP","10%",55,15
"5","B_Blood.xlsx","B_B11","MAP","MAP","7.5%",51,15
"6","B_Blood.xlsx","B_B11","MAP","MAP","5%",58,15
"7","B_Blood.xlsx","B_B11","MAP","MAP","2.5%",55,15
"8","B_Blood.xlsx","B_B11","MAP","MAP","EOB",68,15
"9","B_Blood.xlsx","B_B11","MAP","MAP","24HR",78,15
"10","B_Blood.xlsx","B_B11","MAP","MAP","48HR",74,15
"11","B_Blood.xlsx","B_B11","ABG","LAC","BL",0.6,15
"12","B_Blood.xlsx","B_B11","ABG","LAC","EOS",10.1,15
"13","B_Blood.xlsx","B_B11","ABG","LAC","EOR",9.1,15
"14","B_Blood.xlsx","B_B11","ABG","LAC","10%",2.7,15
"15","B_Blood.xlsx","B_B11","ABG","LAC","7.5%",1.4,15
"16","B_Blood.xlsx","B_B11","ABG","LAC","5%",1.1,15
"17","B_Blood.xlsx","B_B11","ABG","LAC","2.5%",0.7,15
"18","B_Blood.xlsx","B_B11","ABG","LAC","EOB",0.8,15
"19","B_Blood.xlsx","B_B11","ABG","LAC","24HR",1.5,15
"20","B_Blood.xlsx","B_B11","ABG","LAC","48HR",0.4,15
"21","B_Blood.xlsx","B_B11",NA,"AST","BL",82,15
"22","B_Blood.xlsx","B_B11",NA,"AST","EOR",78,15
"23","B_Blood.xlsx","B_B11",NA,"AST","EOB",113,15
"24","B_Blood.xlsx","B_B11",NA,"AST","24HR",62,15
"25","B_Blood.xlsx","B_B11",NA,"AST","48HR",33,15
"26","B_Blood.xlsx","B_B11",NA,"ALT","BL",108,15
"27","B_Blood.xlsx","B_B11",NA,"ALT","EOR",95,15
"28","B_Blood.xlsx","B_B11",NA,"ALT","EOB",125,15
"29","B_Blood.xlsx","B_B11",NA,"ALT","24HR",123,15
"30","B_Blood.xlsx","B_B11",NA,"ALT","48HR",103,15
"31","B_Blood.xlsx","B_B11",NA,"LDH","BL",164,15
"32","B_Blood.xlsx","B_B11",NA,"LDH","EOR",124,15
"33","B_Blood.xlsx","B_B11",NA,"LDH","EOB",202,15
"34","B_Blood.xlsx","B_B11",NA,"LDH","24HR",116,15
"35","B_Blood.xlsx","B_B11",NA,"LDH","48HR",59,15
"36","B_Blood.xlsx","B_B11",NA,"CREA","BL",0.9,15
"37","B_Blood.xlsx","B_B11",NA,"CREA","EOR",0.8,15
"38","B_Blood.xlsx","B_B11",NA,"CREA","EOB",0.6,15
"39","B_Blood.xlsx","B_B11",NA,"CREA","24HR",0.7,15
"40","B_Blood.xlsx","B_B11",NA,"CREA","48HR",0.6,15
"41","B_Blood.xlsx","B_B11",NA,"BUN","BL",13.21,15
