Timepoint,Clock_Time,ID,MODEL,METRIC,VALUE,GROUP,UNITS
Baseline,07:30,B-B 01,B-B,MAP,90,MAP,mmHg
Baseline,07:30,B-B 01,B-B,bpm,202,Heart rate,bpm
Baseline,07:30,B-B 01,B-B,RBC,5.41,CBC,M/mL
Baseline,07:30,B-B 01,B-B,Hb,10.8,CBC,mg/dL
Baseline,07:30,B-B 01,B-B,HCT,33.7,CBC,mmHg
Baseline,07:30,B-B 01,B-B,PLT,35,CBC,10^3/uL
Baseline,07:30,B-B 01,B-B,WBC,5.7,CBC,10^3/uL
Baseline,07:30,B-B 01,B-B,X._Free_Hb,0,% Free Hb,%
Baseline,07:30,B-B 01,B-B,LAC,0.6,ABG,mmol/L
Baseline,07:30,B-B 01,B-B,pH,7.53,ABG,value
Baseline,07:30,B-B 01,B-B,pCO2,35.1,ABG,mmHg
Baseline,07:30,B-B 01,B-B,pO2,72.6,ABG,mmHg
Baseline,07:30,B-B 01,B-B,AST,30,CMP,U/L
Baseline,07:30,B-B 01,B-B,ALT,70,CMP,U/L
Baseline,07:30,B-B 01,B-B,LDH,77,CMP,U/L
Baseline,07:30,B-B 01,B-B,CREA,0.9,CMP,mg/dL
Baseline,07:30,B-B 01,B-B,BUN,10.16,CMP,mg/dL
Baseline,07:30,B-B 01,B-B,AMY,276,CMP,U/L
Baseline,07:30,B-B 01,B-B,TG,108.61,CMP,mg/dL
Baseline,07:30,B-B 01,B-B,GLU,154.28,CMP,mg/dL
Baseline,07:30,B-B 01,B-B,GGT,10,CMP,U/L
Baseline,07:30,B-B 01,B-B,APTT,139.9,Coag Panel,sec
Baseline,07:30,B-B 01,B-B,PT,18.2,Coag Panel,sec
Baseline,07:30,B-B 01,B-B,TT,17.1,Coag Panel,sec
Baseline,07:30,B-B 01,B-B,Fib,2.01,Coag Panel,g/L
EOS,10:37,B-B 01,B-B,MAP,64,MAP,mmHg
EOS,10:37,B-B 01,B-B,bpm,178,Heart rate,bpm
EOS,10:37,B-B 01,B-B,RBC,3.45,CBC,M/mL
EOS,10:37,B-B 01,B-B,Hb,6.9,CBC,mg/dL
EOS,10:37,B-B 01,B-B,HCT,21.2,CBC,mmHg
EOS,10:37,B-B 01,B-B,PLT,132,CBC,10^3/uL
EOS,10:37,B-B 01,B-B,WBC,6.9,CBC,10^3/uL
EOS,10:37,B-B 01,B-B,X._Free_Hb,0,% Free Hb,%
EOS,10:37,B-B 01,B-B,LAC,4.8,ABG,mmol/L
EOS,10:37,B-B 01,B-B,pH,7.504,ABG,value
EOS,10:37,B-B 01,B-B,pCO2,35.7,ABG,mmHg
EOS,10:37,B-B 01,B-B,pO2,93.3,ABG,mmHg
EOR,10:47,B-B 01,B-B,MAP,67,MAP,mmHg
EOR,10:47,B-B 01,B-B,bpm,174,Heart rate,bpm
EOR,10:47,B-B 01,B-B,RBC,3.93,CBC,M/mL
EOR,10:47,B-B 01,B-B,Hb,7.8,CBC,mg/dL
EOR,10:47,B-B 01,B-B,HCT,24.3,CBC,mmHg
EOR,10:47,B-B 01,B-B,PLT,197,CBC,10^3/uL
EOR,10:47,B-B 01,B-B,WBC,5.5,CBC,10^3/uL
