Timepoint,Clock_Time,ID,MODEL,METRIC,VALUE,GROUP,UNITS
Baseline,06:40,B-B 05,B-B,MAP,72,MAP,mmHg
Baseline,06:40,B-B 05,B-B,bpm,242,Heart rate,bpm
Baseline,06:40,B-B 05,B-B,RBC,5.85,CBC,M/mL
Baseline,06:40,B-B 05,B-B,Hb,11.6,CBC,mg/dL
Baseline,06:40,B-B 05,B-B,HCT,36.7,CBC,mmHg
Baseline,06:40,B-B 05,B-B,PLT,247,CBC,10^3/uL
Baseline,06:40,B-B 05,B-B,WBC,6.1,CBC,10^3/uL
Baseline,06:40,B-B 05,B-B,X._Free_Hb,0,% Free Hb,%
Baseline,06:40,B-B 05,B-B,LAC,0.9,ABG,mmol/L
Baseline,06:40,B-B 05,B-B,pH,7.451,ABG,value
Baseline,06:40,B-B 05,B-B,pCO2,45.7,ABG,mmHg
Baseline,06:40,B-B 05,B-B,pO2,64.2,ABG,mmHg
Baseline,06:40,B-B 05,B-B,AST,26,CMP,U/L
Baseline,06:40,B-B 05,B-B,ALT,72,CMP,U/L
Baseline,06:40,B-B 05,B-B,LDH,96,CMP,U/L
Baseline,06:40,B-B 05,B-B,CREA,0.8,CMP,mg/dL
Baseline,06:40,B-B 05,B-B,BUN,11.55,CMP,mg/dL
Baseline,06:40,B-B 05,B-B,AMY,270,CMP,U/L
Baseline,06:40,B-B 05,B-B,TG,85.71,CMP,mg/dL
Baseline,06:40,B-B 05,B-B,GLU,132.86,CMP,mg/dL
Baseline,06:40,B-B 05,B-B,GGT,6,CMP,U/L
Baseline,06:40,B-B 05,B-B,APTT,135.9,Coag Panel,sec
Baseline,06:40,B-B 05,B-B,PT,14.7,Coag Panel,sec
Baseline,06:40,B-B 05,B-B,TT,20.7,Coag Panel,sec
Baseline,06:40,B-B 05,B-B,Fib,1.63,Coag Panel,g/L
EOS,09:02,B-B 05,B-B,MAP,71,MAP,mmHg
EOS,09:02,B-B 05,B-B,bpm,192,Heart rate,bpm
EOS,09:02,B-B 05,B-B,RBC,3.8,CBC,M/mL
EOS,09:02,B-B 05,B-B,Hb,7.7,CBC,mg/dL
EOS,09:02,B-B 05,B-B,HCT,23.6,CBC,mmHg
EOS,09:02,B-B 05,B-B,PLT,90,CBC,10^3/uL
EOS,09:02,B-B 05,B-B,WBC,5.9,CBC,10^3/uL
EOS,09:02,B-B 05,B-B,X._Free_Hb,0,% Free Hb,%
EOS,09:02,B-B 05,B-B,LAC,11.5,ABG,mmol/L
EOS,09:02,B-B 05,B-B,pH,7.423,ABG,value
EOS,09:02,B-B 05,B-B,pCO2,32.4,ABG,mmHg
EOS,09:02,B-B 05,B-B,pO2,96.9,ABG,mmHg
EOR,09:12,B-B 05,B-B,MAP,66,MAP,mmHg
EOR,09:12,B-B 05,B-B,bpm,275,Heart rate,bpm
EOR,09:12,B-B 05,B-B,RBC,4.6,CBC,M/mL
EOR,09:12,B-B 05,B-B,Hb,9.2,CBC,mg/dL
EOR,09:12,B-B 05,B-B,HCT,28.7,CBC,mmHg
EOR,09:12,B-B 05,B-B,PLT,187,CBC,10^3/uL
EOR,09:12,B-B 05,B-B,WBC,4.8,CBC,10^3/uL
EOR,09:12,B-B 05,B-B,X._Free_Hb,0,% Free Hb,%
EOR,09:12,B-B 05,B-B,LAC,11.1,ABG,mmol/L
EOR,09:12,B-B 05,B-B,pH,7.351,ABG,value
EOR,09:12,B-B 05,B-B,pCO2,38.3,ABG,mmHg
EOR,09:12,B-B 05,B-B,pO2,89,ABG,mmHg
EOR,09:12,B-B 05,B-B,AST,51,CMP,U/L
EOR,09:12,B-B 05,B-B,ALT,64,CMP,U/L
EOR,09:12,B-B 05,B-B,LDH,202,CMP,U/L
EOR,09:12,B-B 05,B-B,CREA,1.3,CMP,mg/dL
EOR,09:12,B-B 05,B-B,BUN,20.59,CMP,mg/dL
EOR,09:12,B-B 05,B-B,AMY,255,CMP,U/L
EOR,09:12,B-B 05,B-B,TG,160.25,CMP,mg/dL
EOR,09:12,B-B 05,B-B,GLU,336.37,CMP,mg/dL
EOR,09:12,B-B 05,B-B,GGT,5,CMP,U/L
EOR,09:12,B-B 05,B-B,APTT,142.1,Coag Panel,sec
EOR,09:12,B-B 05,B-B,PT,14.2,Coag Panel,sec
EOR,09:12,B-B 05,B-B,TT,20.4,Coag Panel,sec
EOR,09:12,B-B 05,B-B,Fib,1.48,Coag Panel,g/L
10%,10:12,B-B 05,B-B,MAP,56,MAP,mmHg
10%,10:12,B-B 05,B-B,bpm,293,Heart rate,bpm
10%,10:12,B-B 05,B-B,LAC,5.4,ABG,mmol/L
10%,10:12,B-B 05,B-B,pH,7.474,ABG,value
10%,10:12,B-B 05,B-B,pCO2,42.4,ABG,mmHg
10%,10:12,B-B 05,B-B,pO2,88.9,ABG,mmHg
7.5%,11:12,B-B 05,B-B,MAP,92,MAP,mmHg
7.5%,11:12,B-B 05,B-B,bpm,281,Heart rate,bpm
7.5%,11:12,B-B 05,B-B,LAC,13.8,ABG,mmol/L
7.5%,11:12,B-B 05,B-B,pH,7.367,ABG,value
7.5%,11:12,B-B 05,B-B,pCO2,40.1,ABG,mmHg
7.5%,11:12,B-B 05,B-B,pO2,93.7,ABG,mmHg
Baseline,NA,B-B 08,B-B,MAP,237,MAP,mmHg
Baseline,NA,B-B 08,B-B,bpm,237,Heart rate,bpm
Baseline,NA,B-B 08,B-B,RBC,5.34,CBC,M/mL
Baseline,NA,B-B 08,B-B,Hb,11.1,CBC,mg/dL
Baseline,NA,B-B 08,B-B,HCT,35,CBC,mmHg
Baseline,NA,B-B 08,B-B,PLT,52,CBC,10^3/uL
Baseline,NA,B-B 08,B-B,WBC,7.4,CBC,10^3/uL
Baseline,NA,B-B 08,B-B,X._Free_Hb,0,% Free Hb,%
Baseline,NA,B-B 08,B-B,LAC,1.2,ABG,mmol/L
Baseline,NA,B-B 08,B-B,pH,7.455,ABG,value
Baseline,NA,B-B 08,B-B,pCO2,41,ABG,mmHg
Baseline,NA,B-B 08,B-B,pO2,83.8,ABG,mmHg
Baseline,NA,B-B 08,B-B,AST,36,CMP,U/L
Baseline,NA,B-B 08,B-B,ALT,36,CMP,U/L
Baseline,NA,B-B 08,B-B,LDH,186,CMP,U/L
Baseline,NA,B-B 08,B-B,CREA,0.7,CMP,mg/dL
Baseline,NA,B-B 08,B-B,BUN,12.02,CMP,mg/dL
Baseline,NA,B-B 08,B-B,AMY,180,CMP,U/L
Baseline,NA,B-B 08,B-B,TG,260.21,CMP,mg/dL
Baseline,NA,B-B 08,B-B,GLU,132.87,CMP,mg/dL
Baseline,NA,B-B 08,B-B,GGT,8,CMP,U/L
Baseline,NA,B-B 08,B-B,APTT,140.8,Coag Panel,sec
Baseline,NA,B-B 08,B-B,PT,22.6,Coag Panel,sec
Baseline,NA,B-B 08,B-B,TT,20.8,Coag Panel,sec
Baseline,NA,B-B 08,B-B,Fib,2.13,Coag Panel,g/L
EOS,NA,B-B 08,B-B,MAP,238,MAP,mmHg
EOS,NA,B-B 08,B-B,bpm,238,Heart rate,bpm
EOS,NA,B-B 08,B-B,RBC,4.02,CBC,M/mL
EOS,NA,B-B 08,B-B,Hb,8.3,CBC,mg/dL
EOS,NA,B-B 08,B-B,HCT,26,CBC,mmHg
EOS,NA,B-B 08,B-B,PLT,180,CBC,10^3/uL
EOS,NA,B-B 08,B-B,WBC,6,CBC,10^3/uL
EOS,NA,B-B 08,B-B,X._Free_Hb,0,% Free Hb,%
EOS,NA,B-B 08,B-B,LAC,3.5,ABG,mmol/L
EOS,NA,B-B 08,B-B,pH,7.481,ABG,value
EOS,NA,B-B 08,B-B,pCO2,49,ABG,mmHg
EOS,NA,B-B 08,B-B,pO2,71.8,ABG,mmHg
EOR,NA,B-B 08,B-B,MAP,200,MAP,mmHg
EOR,NA,B-B 08,B-B,bpm,200,Heart rate,bpm
EOR,NA,B-B 08,B-B,RBC,4.09,CBC,M/mL
EOR,NA,B-B 08,B-B,Hb,8.5,CBC,mg/dL
EOR,NA,B-B 08,B-B,HCT,26.7,CBC,mmHg
EOR,NA,B-B 08,B-B,PLT,86,CBC,10^3/uL
EOR,NA,B-B 08,B-B,WBC,8.5,CBC,10^3/uL
EOR,NA,B-B 08,B-B,X._Free_Hb,0,% Free Hb,%
EOR,NA,B-B 08,B-B,LAC,2.8,ABG,mmol/L
EOR,NA,B-B 08,B-B,pH,7.441,ABG,value
EOR,NA,B-B 08,B-B,pCO2,46.9,ABG,mmHg
EOR,NA,B-B 08,B-B,pO2,72.2,ABG,mmHg
EOR,NA,B-B 08,B-B,AST,34,CMP,U/L
EOR,NA,B-B 08,B-B,ALT,35,CMP,U/L
EOR,NA,B-B 08,B-B,LDH,138,CMP,U/L
EOR,NA,B-B 08,B-B,CREA,1.2,CMP,mg/dL
EOR,NA,B-B 08,B-B,BUN,15.36,CMP,mg/dL
EOR,NA,B-B 08,B-B,AMY,143,CMP,U/L
EOR,NA,B-B 08,B-B,TG,191.56,CMP,mg/dL
EOR,NA,B-B 08,B-B,GLU,221.75,CMP,mg/dL
EOR,NA,B-B 08,B-B,GGT,6,CMP,U/L
EOR,NA,B-B 08,B-B,APTT,15.1,Coag Panel,sec
EOR,NA,B-B 08,B-B,PT,38.5,Coag Panel,sec
EOR,NA,B-B 08,B-B,Fib,0.65,Coag Panel,g/L
10%,NA,B-B 08,B-B,MAP,219,MAP,mmHg
10%,NA,B-B 08,B-B,bpm,219,Heart rate,bpm
10%,NA,B-B 08,B-B,LAC,2.3,ABG,mmol/L
10%,NA,B-B 08,B-B,pH,7.485,ABG,value
10%,NA,B-B 08,B-B,pCO2,47.7,ABG,mmHg
10%,NA,B-B 08,B-B,pO2,67.9,ABG,mmHg
7.5%,NA,B-B 08,B-B,MAP,209,MAP,mmHg
7.5%,NA,B-B 08,B-B,bpm,209,Heart rate,bpm
7.5%,NA,B-B 08,B-B,LAC,1.4,ABG,mmol/L
7.5%,NA,B-B 08,B-B,pH,7.496,ABG,value
7.5%,NA,B-B 08,B-B,pCO2,48.5,ABG,mmHg
7.5%,NA,B-B 08,B-B,pO2,63.6,ABG,mmHg
5%,NA,B-B 08,B-B,MAP,214,MAP,mmHg
5%,NA,B-B 08,B-B,bpm,214,Heart rate,bpm
5%,NA,B-B 08,B-B,LAC,1.4,ABG,mmol/L
5%,NA,B-B 08,B-B,pH,7.464,ABG,value
5%,NA,B-B 08,B-B,pCO2,47.4,ABG,mmHg
5%,NA,B-B 08,B-B,pO2,79.3,ABG,mmHg
2.5%,14:08,B-B 08,B-B,MAP,230,MAP,mmHg
2.5%,14:08,B-B 08,B-B,bpm,230,Heart rate,bpm
2.5%,14:08,B-B 08,B-B,pH,7.447,ABG,value
2.5%,14:08,B-B 08,B-B,pCO2,45.6,ABG,mmHg
2.5%,14:08,B-B 08,B-B,pO2,79.6,ABG,mmHg
EOB,14:18,B-B 08,B-B,MAP,219,MAP,mmHg
EOB,14:18,B-B 08,B-B,bpm,219,Heart rate,bpm
EOB,14:18,B-B 08,B-B,LAC,1.8,ABG,mmol/L
EOB,14:18,B-B 08,B-B,pH,7.453,ABG,value
EOB,14:18,B-B 08,B-B,pCO2,45.1,ABG,mmHg
EOB,14:18,B-B 08,B-B,pO2,82.2,ABG,mmHg
EOB,14:18,B-B 08,B-B,AST,42,CMP,U/L
EOB,14:18,B-B 08,B-B,ALT,45,CMP,U/L
EOB,14:18,B-B 08,B-B,LDH,193,CMP,U/L
EOB,14:18,B-B 08,B-B,CREA,0.4,CMP,mg/dL
EOB,14:18,B-B 08,B-B,BUN,22.66,CMP,mg/dL
EOB,14:18,B-B 08,B-B,AMY,188,CMP,U/L
EOB,14:18,B-B 08,B-B,TG,225.86,CMP,mg/dL
EOB,14:18,B-B 08,B-B,GLU,124.52,CMP,mg/dL
EOB,14:18,B-B 08,B-B,GGT,10,CMP,U/L
EOB,14:18,B-B 08,B-B,APTT,136.8,Coag Panel,sec
EOB,14:18,B-B 08,B-B,PT,13.3,Coag Panel,sec
EOB,14:18,B-B 08,B-B,TT,93.8,Coag Panel,sec
EOB,14:18,B-B 08,B-B,Fib,3.07,Coag Panel,g/L
24HR,22:08,B-B 08,B-B,MAP,288,MAP,mmHg
24HR,22:08,B-B 08,B-B,bpm,288,Heart rate,bpm
24HR,22:08,B-B 08,B-B,RBC,4.9,CBC,M/mL
24HR,22:08,B-B 08,B-B,Hb,10.3,CBC,mg/dL
24HR,22:08,B-B 08,B-B,HCT,31.9,CBC,mmHg
24HR,22:08,B-B 08,B-B,PLT,29,CBC,10^3/uL
24HR,22:08,B-B 08,B-B,WBC,6.3,CBC,10^3/uL
24HR,22:08,B-B 08,B-B,X._Free_Hb,0,% Free Hb,%
24HR,22:08,B-B 08,B-B,LAC,2.3,ABG,mmol/L
24HR,22:08,B-B 08,B-B,pH,7.447,ABG,value
24HR,22:08,B-B 08,B-B,pCO2,43.3,ABG,mmHg
24HR,22:08,B-B 08,B-B,pO2,77.8,ABG,mmHg
24HR,22:08,B-B 08,B-B,AST,59,CMP,U/L
24HR,22:08,B-B 08,B-B,ALT,57,CMP,U/L
24HR,22:08,B-B 08,B-B,LDH,205,CMP,U/L
24HR,22:08,B-B 08,B-B,CREA,0.5,CMP,mg/dL
24HR,22:08,B-B 08,B-B,BUN,13.35,CMP,mg/dL
24HR,22:08,B-B 08,B-B,AMY,223,CMP,U/L
24HR,22:08,B-B 08,B-B,TG,172.36,CMP,mg/dL
24HR,22:08,B-B 08,B-B,GLU,165.36,CMP,mg/dL
24HR,22:08,B-B 08,B-B,GGT,10,CMP,U/L
24HR,22:08,B-B 08,B-B,PT,55.6,Coag Panel,sec
48HR,22:08,B-B 08,B-B,MAP,262,MAP,mmHg
48HR,22:08,B-B 08,B-B,bpm,262,Heart rate,bpm
48HR,22:08,B-B 08,B-B,LAC,2.9,ABG,mmol/L
48HR,22:08,B-B 08,B-B,pH,7.447,ABG,value
48HR,22:08,B-B 08,B-B,pCO2,39.5,ABG,mmHg
