"METRIC","MODEL","TIMERANGE","MEAN","SD","n"
"LAC","B-B","AUC EOS
to 1 hr",-29.2619297486039,11.894781537041,12
"LAC","B-B","AUC EOS
to 24 hr",-1943.4346318272,100.611028701486,11
"LAC","B-B","AUC EOS
to 3 hr",-134.715297973768,46.1071440324579,12
"LAC","B-B","AUC EOS
to 6 hr",-336.852214108202,53.2681554107214,12
"LAC","B-B","AUC EOS
to EOR",-0.536446081637149,0.738041132320164,13
"LAC","B-EM","AUC EOS
to 1 hr",-23.347645417691,19.4726841699304,5
"LAC","B-EM","AUC EOS
to 24 hr",-805.913062039927,902.758658720696,5
"LAC","B-EM","AUC EOS
to 3 hr",-75.9740812829585,112.794442812503,5
"LAC","B-EM","AUC EOS
to 6 hr",-93.7139103119212,236.672603332956,5
"LAC","B-EM","AUC EOS
to EOR",-0.953308829077818,0.708172816048286,5
"LAC","B-LR","AUC EOS
to 1 hr",10.9656765722251,25.4143192605769,15
"LAC","B-LR","AUC EOS
to 24 hr",-539.229029482991,766.946489592496,14
"LAC","B-LR","AUC EOS
to 3 hr",-30.305842287616,65.1744449413588,15
"LAC","B-LR","AUC EOS
to 6 hr",-50.0416344912306,96.7471567785849,14
"LAC","B-LR","AUC EOS
to EOR",3.48493700776631,2.95275652760648,15
"MAP","B-B","AUC EOS
to 1 hr",67.1205656995304,45.1652957269116,13
"MAP","B-B","AUC EOS
to 24 hr",1998.30995995601,1083.60298619069,13
"MAP","B-B","AUC EOS
to 3 hr",152.647428007621,105.473057751868,13
"MAP","B-B","AUC EOS
to 6 hr",328.706125837851,204.032354153667,13
"MAP","B-B","AUC EOS
to EOR",5.84639026847611,4.20153627584394,14
"MAP","B-EM","AUC EOS
to 1 hr",14.7155106217926,32.8216813154335,5
"MAP","B-EM","AUC EOS
to 24 hr",744.480220014322,1014.52177488918,5
"MAP","B-EM","AUC EOS
to 3 hr",69.3703023630505,118.332530901635,5
"MAP","B-EM","AUC EOS
to 6 hr",152.533507996181,210.792891410276,5
"MAP","B-EM","AUC EOS
to EOR",1.51056373075546,1.82046870940861,5
"MAP","B-LR","AUC EOS
to 1 hr",16.8643891005514,22.817838477533,15
"MAP","B-LR","AUC EOS
to 24 hr",782.430745371588,1015.1860521686,14
"MAP","B-LR","AUC EOS
to 3 hr",58.937959438472,86.145649542474,15
"MAP","B-LR","AUC EOS
to 6 hr",124.246095436414,155.188995615276,14
"MAP","B-LR","AUC EOS
to EOR",1.6595461294611,2.45968073641448,15
