"","METRIC","ES","VJUST","MEASURE","CATEGORY"
"1","LAC",0,1.5,"TPP","TPP"
"2","MAP",NA,NA,"TPP","TPP"
"3","LAC",0,1.5,"30% margin","TPP"
"4","MAP",NA,NA,"30% margin","TPP"
"5","LAC",0,1.5,"20% margin","TPP"
"6","MAP",NA,NA,"20% margin","TPP"
"7","LAC",0,1.5,"10% margin","TPP"
"8","MAP",NA,NA,"10% margin","TPP"
"9","LAC",-2.1976611357974,1.5,"fWB","fWB"
"10","MAP",-Inf,1.5,"fWB","fWB"
"11","LAC",-0.578226515940093,1.5,"EM","EM"
"12","MAP",-Inf,1.5,"EM","EM"
"13","LAC",0,1.5,"LR","LR"
"14","MAP",NA,NA,"LR","LR"
