"","METRIC","TIMERANGE","ES","VJUST","MEASURE"
"1","LAC","AUC EOS
to 1 hr",-0.0396355660629783,1.5,"TPP"
"2","LAC","AUC EOS
to 1st Bleed",-1.30040788545504,1.5,"TPP"
"3","LAC","AUC EOS
to 24 hr",-0.402657548913054,1.5,"TPP"
"4","LAC","AUC EOS
to 2nd Bleed",-0.923920416493988,1.5,"TPP"
"5","LAC","AUC EOS
to 3rd Bleed",-0.508230122804149,1.5,"TPP"
"6","LAC","AUC EOS
to 48 hr",1.2991502308646,-0.3,"TPP"
"7","LAC","AUC EOS
to 4th Bleed",-0.118885191596349,1.5,"TPP"
"8","LAC","AUC EOS
to EOB",-0.0484190162202822,1.5,"TPP"
"9","LAC","AUC EOS
to EOR",-1.42538848716247,1.5,"TPP"
"10","MAP","AUC EOS
to 1 hr",0.249104399718647,-0.3,"TPP"
"11","MAP","AUC EOS
to 1st Bleed",-0.41946714428801,1.5,"TPP"
"12","MAP","AUC EOS
to 24 hr",-0.0115959406388708,1.5,"TPP"
"13","MAP","AUC EOS
to 2nd Bleed",-0.0859537360069616,1.5,"TPP"
"14","MAP","AUC EOS
to 3rd Bleed",0.20662146789841,-0.3,"TPP"
"15","MAP","AUC EOS
to 48 hr",0.186156640210704,-0.3,"TPP"
"16","MAP","AUC EOS
to 4th Bleed",0.337256579952921,-0.3,"TPP"
"17","MAP","AUC EOS
to EOB",0.249104399718647,-0.3,"TPP"
"18","MAP","AUC EOS
to EOR",-0.391804018245305,1.5,"TPP"
"19","LAC","AUC EOS
to 1 hr",-0.0277448962440848,1.5,"30% Margin"
"20","LAC","AUC EOS
to 1st Bleed",-0.910285519818531,1.5,"30% Margin"
"21","LAC","AUC EOS
to 24 hr",-0.281860284239138,1.5,"30% Margin"
"22","LAC","AUC EOS
to 2nd Bleed",-0.646744291545792,1.5,"30% Margin"
"23","LAC","AUC EOS
to 3rd Bleed",-0.355761085962904,1.5,"30% Margin"
"24","LAC","AUC EOS
to 48 hr",1.68889530012398,-0.3,"30% Margin"
"25","LAC","AUC EOS
to 4th Bleed",-0.0832196341174446,1.5,"30% Margin"
"26","LAC","AUC EOS
to EOB",-0.0338933113541975,1.5,"30% Margin"
"27","LAC","AUC EOS
to EOR",-0.997771941013732,1.5,"30% Margin"
"28","MAP","AUC EOS
to 1 hr",0.174373079803053,-0.3,"30% Margin"
"29","MAP","AUC EOS
to 1st Bleed",-0.545307287574413,1.5,"30% Margin"
"30","MAP","AUC EOS
to 24 hr",-0.015074722830532,1.5,"30% Margin"
"31","MAP","AUC EOS
to 2nd Bleed",-0.11173985680905,1.5,"30% Margin"
"32","MAP","AUC EOS
to 3rd Bleed",0.144635027528887,-0.3,"30% Margin"
"33","MAP","AUC EOS
to 48 hr",0.130309648147493,-0.3,"30% Margin"
"34","MAP","AUC EOS
to 4th Bleed",0.236079605967045,-0.3,"30% Margin"
"35","MAP","AUC EOS
to EOB",0.174373079803053,-0.3,"30% Margin"
"36","MAP","AUC EOS
to EOR",-0.509345223718896,1.5,"30% Margin"
"37","LAC","AUC EOS
to 1 hr",-2.80666176439454,1.5,"fWB"
"38","LAC","AUC EOS
to 1st Bleed",-1.39636736241215,1.5,"fWB"
