"METRIC","NAME","MODEL","ID","PEAK80","T_CROSS","CENSORED","QUANT25","QUANT75","IQR","OUTLIER","METHOD"
"LAC","LAC
(mmol/L)","B-B","B-B 03",0.96,3.53333333333333,"NO",1,2,1,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-B","B-B 04",1.86,1.77647058823529,"NO",1,2,1,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-B","B-B 07",2.7,2,"NO",1,2,1,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-B","B-B 09",1.4,0.932203389830508,"NO",1,2,1,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-B","B-B 10",1.74,3.86666666666667,"NO",1,2,1,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-B","B-B 11",1.9,1,"NO",1,2,1,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-B","B-B 13",1.46,1,"NO",1,2,1,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-B","B-B 16",0.92,1,"NO",1,2,1,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-B","B-B 17",3.16,1,"NO",1,2,1,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-EM","B-EM 05",2.52,15.356862745098,"NO",16.4822538003966,18.7330359109936,2.25078211059705,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-EM","B-EM 06",0.94,19.8584269662921,"NO",16.4822538003966,18.7330359109936,2.25078211059705,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-LR","B-LR 03",1.04,45.6,"NO",17.4133333333333,26.4,8.98666666666665,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-LR","B-LR 04",0.38,22.9636363636364,"NO",17.4133333333333,26.4,8.98666666666665,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-LR","B-LR 05",0.76,27.84,"NO",17.4133333333333,26.4,8.98666666666665,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-LR","B-LR 06",1.22,12.8150943396226,"NO",17.4133333333333,26.4,8.98666666666665,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-LR","B-LR 07",1.16,17.4133333333333,"NO",17.4133333333333,26.4,8.98666666666665,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-LR","B-LR 08",1.46,14.9170731707317,"NO",17.4133333333333,26.4,8.98666666666665,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-LR","B-LR 09",0.86,26.4,"NO",17.4133333333333,26.4,8.98666666666665,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-LR","B-LR 13",1.86,22.5433333333333,"NO",17.4133333333333,26.4,8.98666666666665,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-LR","B-LR 14",0.82,18.8066666666667,"NO",17.4133333333333,26.4,8.98666666666665,"NO","CROSS"
"MAP","MAP
(mmHg)","B-B","B-B 03",-6.6,-0.078824,"NO",-0.04279375,2.53333333333333,2.57612708333333,"NO","CROSS"
"MAP","MAP
(mmHg)","B-B","B-B 04",-8.6,-0.0473166666666667,"NO",-0.04279375,2.53333333333333,2.57612708333333,"NO","CROSS"
"MAP","MAP
(mmHg)","B-B","B-B 06",-9.4,23.525,"NO",-0.04279375,2.53333333333333,2.57612708333333,"YES","CROSS"
"MAP","MAP
(mmHg)","B-B","B-B 07",-7.6,3.04444444444444,"NO",-0.04279375,2.53333333333333,2.57612708333333,"NO","CROSS"
"MAP","MAP
(mmHg)","B-B","B-B 09",-8,13.6909090909091,"NO",-0.04279375,2.53333333333333,2.57612708333333,"YES","CROSS"
"MAP","MAP
(mmHg)","B-B","B-B 10",-5.4,-0.00303636363636364,"NO",-0.04279375,2.53333333333333,2.57612708333333,"NO","CROSS"
"MAP","MAP
(mmHg)","B-B","B-B 11",-6.6,1,"NO",-0.04279375,2.53333333333333,2.57612708333333,"NO","CROSS"
"MAP","MAP
(mmHg)","B-B","B-B 13",-6,-0.0642307692307692,"NO",-0.04279375,2.53333333333333,2.57612708333333,"NO","CROSS"
"MAP","MAP
(mmHg)","B-B","B-B 16",-8.8,1,"NO",-0.04279375,2.53333333333333,2.57612708333333,"NO","CROSS"
"MAP","MAP
(mmHg)","B-B","B-B 17",-6.6,-0.029225,"NO",-0.04279375,2.53333333333333,2.57612708333333,"NO","CROSS"
"MAP","MAP
(mmHg)","B-EM","B-EM 05",-1.8,48,"YES",14.11875,36.70625,22.5875,"NO","CROSS"
"MAP","MAP
(mmHg)","B-EM","B-EM 06",-9.4,2.825,"NO",14.11875,36.70625,22.5875,"NO","CROSS"
"MAP","MAP
(mmHg)","B-LR","B-LR 02",-3.4,48,"YES",48,48,0,"NO","CROSS"
"MAP","MAP
(mmHg)","B-LR","B-LR 03",-4.4,48,"YES",48,48,0,"NO","CROSS"
"MAP","MAP
(mmHg)","B-LR","B-LR 04",-4.2,48,"YES",48,48,0,"NO","CROSS"
"MAP","MAP
(mmHg)","B-LR","B-LR 05",-11,48,"YES",48,48,0,"NO","CROSS"
"MAP","MAP
(mmHg)","B-LR","B-LR 06",-4.4,48,"YES",48,48,0,"NO","CROSS"
"MAP","MAP
(mmHg)","B-LR","B-LR 07",-6.2,48,"YES",48,48,0,"NO","CROSS"
"MAP","MAP
(mmHg)","B-LR","B-LR 08",-11.2,48,"YES",48,48,0,"NO","CROSS"
"MAP","MAP
(mmHg)","B-LR","B-LR 09",-6.6,37.0285714285714,"NO",48,48,0,"YES","CROSS"
"MAP","MAP
(mmHg)","B-LR","B-LR 13",-10.6,48,"YES",48,48,0,"NO","CROSS"
"MAP","MAP
(mmHg)","B-LR","B-LR 14",-6.8,2.74117647058824,"NO",48,48,0,"YES","CROSS"
