"METHOD","METRIC","MODEL","MEAN","SD","n","NAME"
"CROSS","LAC","EMv2_3_WBA",6.25126714587929,4.69150635104247,8,"LAC
 %Change from EOS"
"CROSS","LAC","FWB",2.11669428683011,0.548748595811019,17,"LAC
 %Change from EOS"
"CROSS","LAC","LR",15.1245524687154,8.88799839619593,15,"LAC
 %Change from EOS"
"CROSS","LAC","SWB",2.81780731827901,1.15932155790531,12,"LAC
 %Change from EOS"
"CROSS","LAC","WBA-pHb",8.75977280008795,9.15776495273185,10,"LAC
 %Change from EOS"
"CROSS","MAP","EMv2_3_WBA",0.14048568115942,0.409796929065645,8,"MAP
 %Change from EOS"
"CROSS","MAP","FWB",6.3352203005977,9.28822132074765,17,"MAP
 %Change from EOS"
"CROSS","MAP","LR",12.8579489292929,10.9651868235892,15,"MAP
 %Change from EOS"
"CROSS","MAP","SWB",8.72872164148695,11.2412787866634,13,"MAP
 %Change from EOS"
"CROSS","MAP","WBA-pHb",-0.0742942207291619,0.0409488642515658,8,"MAP
 %Change from EOS"
