"","METRIC","ES","VJUST","MEASURE","CATEGORY"
"1","LAC",-1.38464754400762,1.5,"TPP","TPP"
"2","MAP",-0.376576099818277,1.5,"TPP","TPP"
"3","LAC",-0.969253280805334,1.5,"30% margin","TPP"
"4","MAP",-0.263603269872794,1.5,"30% margin","TPP"
"5","LAC",-1.1077180352061,1.5,"20% margin","TPP"
"6","MAP",-0.301260879854622,1.5,"20% margin","TPP"
"7","LAC",-1.24618278960686,1.5,"10% margin","TPP"
"8","MAP",-0.338918489836449,1.5,"10% margin","TPP"
"9","LAC",-0.99834461340968,1.5,"WBA-EM","WBA-EM"
"10","MAP",-1.15980360870593,1.5,"WBA-EM","WBA-EM"
"11","LAC",-0.342358552576139,1.5,"SAC-EM4.15","SAC-EM4.15"
"12","MAP",-1.17703547091351,1.5,"SAC-EM4.15","SAC-EM4.15"
