subject_id,redcap_event_name,rabbit_weight,transfusion_date,bld_volume,transf_vol,exclude,exclusion_reason,damp_ld_info,damp_gtt_info,damp_ld_5min,damp_ld_4_hrs,braintissue_vol_5min,braintissue_vol_4hr,total_damp_5min,total_damp_4hr,m_vol_5min,m_vol_4hr,bld_vol_5min,bld_vol_4hr,time,map,bpm,body_temp,ph,pc02,po2,lac,wbc,rbc,hgb,hct,plt,ggt,ast,alt,amy,ldh,crea,bun,glu,tg,r_min,k_min,angle_deg,ma_mm,fluids_and_drugs_data_acredit_complete,baseline_data_complete,baseline_data_c_dbb1_complete,clinical_vitals_complete,abg_complete,cbc_complete,cmp_complete,coagteg_complete
A-TST 03,baseline_arm_1,1.49,2025-03-09,44,31,0,,,,,,,,,,,,,,15:06,72,190,36,5,37,83,10,7,2,8,16,333,2,57,76,252,212,1,17,440,82,2,2,57,53,2,2,,2,2,2,2,2
A-TST 03,eos_arm_1,,,,,,,,,,,,,,,,,,,17:41,75,189,35,13,34,90,8,9,2,2,34,207,4,148,233,214,237,1,22,210,95,6,2,63,52,,,,2,2,2,2,2
A-TST 03,eor_arm_1,,,,,,,,,,,,,,,,,,,18:20,59,212,43,4,33,82,7,8,6,4,31,261,1,145,87,278,230,1,11,567,65,3,1,74,54,,,,2,2,2,2,2
A-TST 03,1h_arm_1,,,,,,,,,,,,,,,,,,,03:25,72,225,45,12,32,88,8,5,6,8,21,208,4,124,54,192,212,1,12,414,138,6,2,71,54,,,,2,2,2,2,2
A-TST 03,3h_arm_1,,,,,,,,,,,,,,,,,,,05:03,80,188,38,11,35,84,6,5,7,2,29,334,1,96,143,282,158,1,22,126,76,,,,,,,,2,2,2,2,0
A-TST 03,6h_arm_1,,,,,,,,,,,,,,,,,,,09:38,89,220,35,5,31,80,7,8,6,6,36,300,1,144,59,314,84,1,21,585,128,5,2,69,55,,,,2,2,2,2,2
A-TST 03,24h_arm_1,,,,,,,,,,,,,,,,,,,13:37,82,187,42,6,34,81,3,1,5,3,16,291,2,50,162,274,93,1,15,170,57,3,1,57,62,,,,2,2,2,2,2
A-TST 08,baseline_arm_1,2.98,2026-06-14,37,54,1,Reason,,,,,,,,,,,,,04:43,55,186,41,8,34,84,0,5,2,5,21,194,1,156,138,253,173,1,27,411,84,7,1,60,67,2,2,,2,2,2,2,2
A-TST 08,eos_arm_1,,,,,,,,,,,,,,,,,,,11:26,55,218,44,3,36,80,7,3,5,9,32,190,2,110,153,275,242,1,21,532,122,4,1,57,67,,,,2,2,2,2,2
A-TST 08,eor_arm_1,,,,,,,,,,,,,,,,,,,06:16,71,192,42,9,32,82,7,4,4,2,25,218,2,73,120,312,109,1,28,152,131,6,1,74,58,,,,2,2,2,2,2
