subject_id,redcap_event_name,rabbit_weight,transfusion_date,tbvr,telemetry_id,exclude,exclusion_reason,damp_ld_info,damp_gtt_info,damp_ld_5min,damp_ld_4_hrs,braintissue_vol_5min,braintissue_vol_4hr,total_damp_5min,total_damp_4hr,m_vol_5min,m_vol_4hr,bld_vol_5min,bld_vol_4hr,time,map,bpm,body_temp,ph,pc02,po2,lac,wbc,rbc,hgb,hct,plt,ggt,ast,alt,amy,ldh,crea,bun,glu,tg,r_min,k_min,angle_deg,ma_mm,aptt,pt,tt,fib,fluids_and_drugs_data_acredit_complete,baseline_data_complete,baseline_data_c_dbb1_complete,clinical_vitals_complete,abg_complete,cbc_complete,cmp_complete,teg_complete,coag_complete
B-LR 01,baseline_arm_2,2.08,2026-01-31,0.45,8975697,1,Reason,,,,,,,,,,,,,03:09,61,232,39,10,35,81,7,4,3,3,32,239,3,68,193,300,224,1,12,146,59,2,1,67,55,,31,,,2,1,,1,1,1,1,1,0
B-LR 01,eos_arm_2,,,,,,,,,,,,,,,,,,,21:57,64,210,39,5,31,80,6,5,9,3,35,321,2,93,191,263,113,1,23,350,99,5,1,66,64,,10,,,,,,0,1,1,1,1,0
B-LR 01,eor_arm_2,,,,,,,,,,,,,,,,,,,23:06,50,239,44,5,35,89,5,9,9,4,37,159,4,136,138,261,161,1,14,366,71,5,1,65,52,,18,,,,,,0,1,1,1,1,0
B-LR 01,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,11:35,51,227,36,11,31,87,7,1,7,9,22,292,2,143,161,152,84,1,25,539,54,4,1,58,64,,27,,,,,,0,1,1,1,1,0
B-LR 01,second_bleed_arm_2,,,,,,,,,,,,,,,,,,,09:59,83,231,40,7,35,85,3,5,7,6,29,262,1,59,229,306,254,1,24,543,99,4,2,77,64,,65,,,,,,0,1,1,1,1,0
B-LR 01,third_bleed_arm_2,,,,,,,,,,,,,,,,,,,04:50,53,237,44,3,34,83,1,4,2,7,33,250,1,75,243,243,165,1,11,583,107,6,2,55,63,,56,,,,,,0,1,1,1,1,0
B-LR 01,fourth_bleed_arm_2,,,,,,,,,,,,,,,,,,,19:24,52,230,42,3,36,80,1,1,8,7,20,198,4,58,233,179,120,1,22,489,58,3,1,74,54,,31,,,,,,0,1,1,1,1,0
B-LR 01,end_of_bleed_arm_2,,,,,,,,,,,,,,,,,,,10:57,55,233,36,6,37,85,0,2,4,4,36,140,3,139,181,206,192,1,16,211,71,2,2,55,57,,24,,,,,,0,1,1,1,1,0
B-LR 01,24h_arm_2,,,,,,,,,,,,,,,,,,,04:19,61,186,42,6,34,90,1,7,9,6,26,224,3,91,51,289,187,1,13,482,117,7,2,72,62,,61,,,,,,0,1,1,1,1,0
B-LR 01,48h_arm_2,,,,,,,,,,,,,,,,,,,10:03,64,203,37,7,33,84,5,7,8,7,37,201,2,69,63,196,113,1,21,123,78,7,1,64,56,,48,,,,,,0,1,1,1,1,0
B-LR 01,72h_arm_2,,,,,,,,,,,,,,,,,,,21:10,59,189,40,2,33,89,5,1,3,6,26,155,3,120,236,264,147,1,16,250,149,6,2,62,55,,63,,,,,,0,1,1,1,1,0
B-LR 01,predeath_arm_2,,,,,,,,,,,,,,,,,,,14:00,63,207,39,6,34,80,5,1,6,2,36,191,3,88,146,288,120,1,24,490,67,6,1,58,66,,26,,,,,,0,1,1,1,1,0
B-LR 04,baseline_arm_2,2.42,2024-12-07,,,0,,,,,,,,,,,,,,20:02,76,217,42,5,30,83,8,3,4,2,20,163,2,74,174,200,141,1,12,491,86,6,2,64,61,,8,,,2,1,,0,1,1,1,1,0
B-LR 04,eos_arm_2,,,,,,,,,,,,,,,,,,,08:52,52,180,38,11,30,86,3,2,5,2,21,307,1,64,189,175,233,1,12,152,117,7,2,71,67,,46,,,,,,0,1,1,1,1,0
B-LR 04,eor_arm_2,,,,,,,,,,,,,,,,,,,10:22,90,194,45,10,30,88,0,7,6,8,25,269,2,147,137,169,239,1,28,337,79,,,,,,55,,,,,,0,1,1,1,,0
B-LR 04,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,22:06,68,210,43,9,33,82,9,2,3,6,21,197,2,159,187,169,219,1,16,283,75,,,,,,13,,,,,,0,1,1,1,,0
B-LR 04,second_bleed_arm_2,,,,,,,,,,,,,,,,,,,10:21,89,218,39,13,31,86,0,4,6,7,28,218,4,147,192,201,93,1,21,129,126,4,2,70,63,,6,,,,,,0,1,1,1,1,0
B-LR 04,third_bleed_arm_2,,,,,,,,,,,,,,,,,,,01:30,86,221,39,11,36,82,7,7,4,6,24,295,3,72,200,234,231,1,15,391,88,6,2,77,68,,18,,,,,,0,1,1,1,1,0
B-LR 04,fourth_bleed_arm_2,,,,,,,,,,,,,,,,,,,00:55,52,213,37,5,31,84,8,5,8,2,30,193,4,131,153,238,88,1,13,557,63,2,2,73,55,,51,,,,,,0,1,1,1,1,0
B-LR 04,end_of_bleed_arm_2,,,,,,,,,,,,,,,,,,,04:56,72,208,35,9,34,85,2,8,7,2,27,239,2,154,167,211,146,1,18,476,119,2,2,58,61,,34,,,,,,0,1,1,1,1,0
B-LR 04,24h_arm_2,,,,,,,,,,,,,,,,,,,02:37,77,205,42,11,31,86,4,1,9,6,24,171,3,84,111,197,221,1,19,256,87,5,1,56,51,,55,,,,,,0,1,1,1,1,0
B-LR 04,48h_arm_2,,,,,,,,,,,,,,,,,,,22:35,76,193,41,6,32,80,2,7,2,3,22,181,3,87,173,303,139,1,21,204,115,7,2,76,63,,61,,,,,,0,1,1,1,1,0
